corpus,score_variant,subset,n_genes,median_n_source_units,median_sign_concordance,fraction_full_concordance,median_loo_rank_stability_score,median_loo_top50_fraction,median_loo_top100_fraction,median_source_quality_weight_sum
er-stress-cross-platform,piper_quality_weighted_secondary,all_scored,14239,4.0,0.889477699645202,0.3386473769225367,0.964885,0.0,0.0,2.864348
er-stress-cross-platform,piper_quality_weighted_secondary,top100_primary,100,4.0,1.0,0.95,0.9995615,0.25,0.75,2.864348
er-stress-cross-platform,piper_quality_weighted_secondary,top100_quality_weighted,100,4.0,1.0,0.97,0.9995259999999999,0.25,0.75,2.864348
er-stress-cross-platform,piper_quality_weighted_secondary,locked_gold,18,4.0,1.0,0.8888888888888888,0.999719,1.0,1.0,2.864348
