corpus,source_unit_id,study_id,pipeline,assay_type,source_input_type,table_scope,source_path,n_rows,has_gene_symbol,has_lfc,has_pvalue,has_padj,has_rank,has_sample_size,awfisher,metarnaseq_fisher,robustrankaggreg,metavolcanor,rankprod_exact,metade_pvalue_modes,metade_effect_size_modes,dexma,metaintegrator,omicc,imageo,networkanalyst,crossmeta,deet,creeds,generic_pvalue_combiners,hstouffer,awmeta,missing_for_raw_expression_tools,notes
er-stress-cross-platform,GSE102505_glioma_TUN,ER_GSE102505_NHA_TUN_vs_DMSO;ER_GSE102505_T4213_TUN_vs_DMSO;ER_GSE102505_U251_TUN_vs_DMSO,logCPM_Welch_derived_from_public_counts,RNA-seq,derived_count_table,full_results,/home/keunsoo/projects/09_PIPER/data/deg/raw/er_stress/GSE102505_NHA_tunicamycin_vs_DMSO_derived_logcpm_welch.csv;/home/keunsoo/projects/09_PIPER/data/deg/raw/er_stress/GSE102505_T4213_tunicamycin_vs_DMSO_derived_logcpm_welch.csv;/home/keunsoo/projects/09_PIPER/data/deg/raw/er_stress/GSE102505_U251_tunicamycin_vs_DMSO_derived_logcpm_welch.csv,30254,True,True,True,True,True,True,compatible,compatible,compatible,compatible,blocked:requires_replicate_expression_and_class_origin_labels,compatible,blocked:requires_effect_variance_or_raw_expression,blocked:requires_expression_matrix_and_phenotype_metadata,blocked:requires_expression_and_phenotype_objects,blocked:requires_expression_matrix_and_sample_group_annotations,blocked:requires_geo_expression_workflow_and_sample_labels,blocked:requires_expression_tables_and_sample_labels,blocked:requires_geo_expression_matrices_and_platform_annotation,not_comparator:uniform_precomputed_signature_atlas,not_comparator:curated_expression_signature_database,covered:fisher_stouffer_awfisher_metarnaseq,blocked:requires_id_baseMean_log2FoldChange_lfcSE_stat_pvalue_padj,blocked:requires_original_variance_or_se,sample-level expression matrix; phenotype/class labels; per-study variance/SE,summary-compatible tools can run from this DEG row set; raw-expression/effect-size tools require additional acquisition
er-stress-cross-platform,GSE19519_ER_STRESS,ER_GSE19519_LCL_THAPSIGARGIN_4h;ER_GSE19519_LCL_TUNICAMYCIN_8h,welch_microarray_normalized_matrix,microarray,normalized_expression_matrix,full_results,/home/keunsoo/projects/09_PIPER/data/deg/raw/microarray_cross_platform/GSE19519_LCL_thapsigargin_4h_vs_DMSO_microarray_welch.csv;/home/keunsoo/projects/09_PIPER/data/deg/raw/microarray_cross_platform/GSE19519_LCL_tunicamycin_8h_vs_DMSO_microarray_welch.csv,43500,True,True,True,True,True,True,compatible,compatible,compatible,compatible,blocked:requires_replicate_expression_and_class_origin_labels,compatible,blocked:requires_effect_variance_or_raw_expression,blocked:requires_expression_matrix_and_phenotype_metadata,blocked:requires_expression_and_phenotype_objects,blocked:requires_expression_matrix_and_sample_group_annotations,blocked:requires_geo_expression_workflow_and_sample_labels,blocked:requires_expression_tables_and_sample_labels,blocked:requires_geo_expression_matrices_and_platform_annotation,not_comparator:uniform_precomputed_signature_atlas,not_comparator:curated_expression_signature_database,covered:fisher_stouffer_awfisher_metarnaseq,blocked:requires_id_baseMean_log2FoldChange_lfcSE_stat_pvalue_padj,blocked:requires_original_variance_or_se,sample-level expression matrix; phenotype/class labels; per-study variance/SE,summary-compatible tools can run from this DEG row set; raw-expression/effect-size tools require additional acquisition
