study_id,paper_id,source_url,source_path,pipeline,species,cell_system,hypoxia_modality,duration_h,n_ctrl,n_treat,gene_column,lfc_column,p_column,padj_column,sep,sheet_name,gene_type_column,gene_type_keep,assay_type,source_input_type,platform,normalization,probe_id_column,probe_collapse,time_course_mode,temporal_mode,table_scope,rank_universe_size,include_in_analysis,notes
IFN_GSE147507_NHBE_IFNB_4h,GSE147507_NHBE_IFNB,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147507/suppl/GSE147507_RawReadCounts_Human.tsv.gz,data/deg/raw/ifn/GSE147507_IFNB_4h_vs_mock_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,NHBE,IFNB vs mock,4,4,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE147507_NHBE_IFNB_6h,GSE147507_NHBE_IFNB,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147507/suppl/GSE147507_RawReadCounts_Human.tsv.gz,data/deg/raw/ifn/GSE147507_IFNB_6h_vs_mock_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,NHBE,IFNB vs mock,6,4,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE147507_NHBE_IFNB_12h,GSE147507_NHBE_IFNB,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE147nnn/GSE147507/suppl/GSE147507_RawReadCounts_Human.tsv.gz,data/deg/raw/ifn/GSE147507_IFNB_12h_vs_mock_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,NHBE,IFNB vs mock,12,4,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE221804_HUHWT_IFNA_2h,GSE221804_HUHWT_IFNA,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221804/suppl/GSE221804_raw_counts_WT_IFNa.csv.gz,data/deg/raw/ifn/GSE221804_IFNA_2h_vs_un_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,Huh7.5 WT,IFNa vs untreated,2,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE221804_HUHWT_IFNA_4h,GSE221804_HUHWT_IFNA,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221804/suppl/GSE221804_raw_counts_WT_IFNa.csv.gz,data/deg/raw/ifn/GSE221804_IFNA_4h_vs_un_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,Huh7.5 WT,IFNa vs untreated,4,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE221804_HUHWT_IFNA_8h,GSE221804_HUHWT_IFNA,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221804/suppl/GSE221804_raw_counts_WT_IFNa.csv.gz,data/deg/raw/ifn/GSE221804_IFNA_8h_vs_un_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,Huh7.5 WT,IFNa vs untreated,8,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE221804_HUHWT_IFNA_24h,GSE221804_HUHWT_IFNA,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE221nnn/GSE221804/suppl/GSE221804_raw_counts_WT_IFNa.csv.gz,data/deg/raw/ifn/GSE221804_IFNA_24h_vs_un_derived_logcpm_welch.csv,logCPM_Welch_derived_from_public_counts,Homo sapiens,Huh7.5 WT,IFNa vs untreated,24,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,,,,,,,full_results,,True,Derived-count IFN pilot contrast; log2FC and p-values computed from public count matrix using logCPM and Welch t-test after an independent low-count expression filter. Not an as-published DEG table.
IFN_GSE71634_PBMC_IFNB_18h,GSE71634_PBMC_IFNB,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71634,data/deg/raw/microarray_cross_platform/GSE71634_PBMC_IFNB_18h_vs_unstimulated_microarray_welch.csv,welch_microarray_normalized_matrix,Homo sapiens,PBMC healthy donors,IFN-beta vs unstimulated,18,20,20,gene_symbol,log2FoldChange,pvalue,padj,,,,,microarray,normalized_expression_matrix,GPL10558,GEO_series_matrix_log2_transform,probe_id,min_pvalue_max_abs_lfc,mean,,full_results,,True,Cross-platform IFN microarray source added after RNA-seq-only benchmark lock.
