study_id,paper_id,source_url,source_path,pipeline,species,cell_system,hypoxia_modality,duration_h,n_ctrl,n_treat,gene_column,lfc_column,p_column,padj_column,sep,sheet_name,gene_type_column,gene_type_keep,assay_type,source_input_type,platform,normalization,probe_id_column,probe_collapse,table_scope,rank_universe_size,include_in_analysis,notes
HS_GSE164834_SW620_HS_1h_vs_Ctrl,GSE164834_SW620_HS,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164834,data/deg/raw/heat_shock/GSE164834_SW620_HS_1h_vs_Ctrl_logcpm_welch.csv,logCPM_Welch_derived_from_NCBI_GEO_counts,Homo sapiens,"SW620 colon cancer cells, scrambled siRNA",42C heat shock 1h vs 37C control,1,3,3,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,NCBI_GEO_RNAseq_counts_GRCh38.p13,logCPM_from_raw_counts,,,full_results,13879,True,Derived-count heat-shock benchmark contrast; log2FC and p-values computed from NCBI GEO raw gene counts using logCPM and Welch t-test. Source-unit collapse is by paper_id.
HS_GSE164834_SW620_HS_1h_REC_1h_vs_Ctrl,GSE164834_SW620_HS,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE164834,data/deg/raw/heat_shock/GSE164834_SW620_HS_1h_REC_1h_vs_Ctrl_logcpm_welch.csv,logCPM_Welch_derived_from_NCBI_GEO_counts,Homo sapiens,"SW620 colon cancer cells, scrambled siRNA",42C heat shock 1h plus 37C recovery 1h vs 37C control,2,3,3,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,NCBI_GEO_RNAseq_counts_GRCh38.p13,logCPM_from_raw_counts,,,full_results,14015,True,Derived-count heat-shock benchmark contrast; log2FC and p-values computed from NCBI GEO raw gene counts using logCPM and Welch t-test. Source-unit collapse is by paper_id.
HS_GSE124609_WI38_Young_HS_vs_Ctrl,GSE124609_WI38_HS,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124609,data/deg/raw/heat_shock/GSE124609_WI38_Young_HS_vs_Ctrl_logcpm_welch.csv,logCPM_Welch_derived_from_NCBI_GEO_counts,Homo sapiens,WI38 young human lung fibroblasts,heat shock vs control,not_reported_in_matrix,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,NCBI_GEO_RNAseq_counts_GRCh38.p13,logCPM_from_raw_counts,,,full_results,13159,True,Derived-count heat-shock benchmark contrast; log2FC and p-values computed from NCBI GEO raw gene counts using logCPM and Welch t-test. Source-unit collapse is by paper_id.
HS_GSE124609_WI38_Senescent_HS_vs_Ctrl,GSE124609_WI38_HS,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE124609,data/deg/raw/heat_shock/GSE124609_WI38_Senescent_HS_vs_Ctrl_logcpm_welch.csv,logCPM_Welch_derived_from_NCBI_GEO_counts,Homo sapiens,WI38 senescent human lung fibroblasts,heat shock vs control,not_reported_in_matrix,2,2,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,NCBI_GEO_RNAseq_counts_GRCh38.p13,logCPM_from_raw_counts,,,full_results,12988,True,Derived-count heat-shock benchmark contrast; log2FC and p-values computed from NCBI GEO raw gene counts using logCPM and Welch t-test. Source-unit collapse is by paper_id.
HS_GSE132447_PrimaryNeurons_HS_3h_REC_vs_Untreated,GSE132447_PrimaryNeurons_HS,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE132447,data/deg/raw/heat_shock/GSE132447_PrimaryNeurons_HS_3h_REC_vs_Untreated_logcpm_welch.csv,logCPM_Welch_derived_from_NCBI_GEO_counts,Homo sapiens,primary neurons,heat shock with 3h recovery vs untreated,3h_recovery,3,3,gene_symbol,log2FoldChange,pvalue,padj,,,,,RNA-seq,derived_count_table,NCBI_GEO_RNAseq_counts_GRCh38.p13,logCPM_from_raw_counts,,,full_results,15612,True,"Derived-count heat-shock benchmark contrast; log2FC and p-values computed from NCBI GEO raw gene counts using logCPM and Welch t-test. Source-unit collapse is by paper_id. GSE132447 1h-recovery replicates are incomplete in the NCBI generated count file, so the primary benchmark uses the complete 3h-recovery arm."
