corpus,score_variant,subset,n_genes,median_n_source_units,median_sign_concordance,fraction_full_concordance,median_loo_rank_stability_score,median_loo_top50_fraction,median_loo_top100_fraction,median_source_quality_weight_sum
ifn-pilot,degora_quality_weighted_secondary,all_scored,9860,2.0,1.0,0.5389452332657201,0.874899,0.0,0.0,1.423304
ifn-pilot,degora_quality_weighted_secondary,top100_primary,100,2.0,1.0,1.0,0.999239,0.5,1.0,1.423304
ifn-pilot,degora_quality_weighted_secondary,top100_quality_weighted,100,2.0,1.0,1.0,0.999239,0.5,1.0,1.423304
ifn-pilot,degora_quality_weighted_secondary,locked_gold,26,2.0,1.0,1.0,0.9994675,1.0,1.0,1.423304
